oil	output	price	time
8.017313	-14.091428	46.914661	1983m11
-17.607973	-20.428497	47.337669	1983m12
2.5346594	-19.406725	44.928493	1984m1
7.6943841	-15.441912	44.82119	1984m2
-6.0900669	-12.943613	44.667484	1984m3
4.3625693	-10.709081	44.830666	1984m4
-8.3663759	-11.038437	45.151207	1984m5
27.81477	-16.187143	44.718636	1984m6
-15.603203	-19.207493	43.680614	1984m7
-37.171429	-18.687426	43.1166	1984m8
10.282813	-16.77886	42.066029	1984m9
9.1332903	-16.058733	41.99781	1984m10
.37627614	-11.620012	41.633873	1984m11
-.88554221	-13.406032	38.906986	1984m12
-27.678762	-15.460787	36.807968	1985m1
32.846939	-17.063528	34.406342	1985m2
4.8174605	-15.149842	34.712132	1985m3
-9.3888159	-11.88597	35.948685	1985m4
-32.223766	-12.206272	35.79818	1985m5
-33.627148	-18.064192	34.242496	1985m6
23.814016	-30.415359	31.529545	1985m7
-3.1434255	-34.786572	31.49445	1985m8
42.433559	-28.283794	31.121187	1985m9
36.776131	-20.513981	31.614079	1985m10
10.236695	-20.129152	32.378586	1985m11
6.6985245	-20.655565	28.507874	1985m12
-22.438595	-21.70723	23.136332	1986m1
.21597023	-29.906067	-8.6422825	1986m2
-10.782047	-33.742531	-32.275318	1986m3
2.2642262	-39.107834	-39.730778	1986m4
25.37422	-41.637207	-39.854408	1986m5
16.307774	-42.217342	-47.462269	1986m6
23.651939	-47.388657	-59.138248	1986m7
13.37591	-43.610409	-50.796089	1986m8
-84.990517	-28.522284	-43.227428	1986m9
7.7588406	-28.179743	-43.955318	1986m10
19.992559	-29.791725	-38.952553	1986m11
3.6266062	-29.464659	-34.173744	1986m12
-14.913496	-24.412579	-19.793959	1987m1
-15.119945	-23.846409	-16.981312	1987m2
-16.309721	-19.287239	-15.702903	1987m3
14.822209	-13.734028	-12.562525	1987m4
17.470657	-7.3184915	-10.836047	1987m5
-6.4674892	-13.196537	-8.7882423	1987m6
54.318649	-14.912229	-6.1549845	1987m7
16.408298	-4.68363	-6.2823467	1987m8
-12.476234	-5.5048995	-10.591038	1987m9
4.0221815	-1.4225609	-11.067882	1987m10
-9.551425	.56316239	-13.542264	1987m11
1.5349981	2.5853839	-19.03643	1987m12
-16.277676	4.2153764	-30.111893	1988m1
1.6799597	8.358695	-30.413691	1988m2
7.5517335	9.9951382	-35.314278	1988m3
6.4679012	8.0458393	-30.046745	1988m4
-5.8841548	6.7866225	-28.337194	1988m5
-7.0028353	-1.4706064	-31.498234	1988m6
